loan_id,customer_id,loan_amount,term_months,interest_rate,application_date,status,defaulted,age,gender,income,employment_status,city,credit_score,credit_score_provider,last_updated,application_year,application_month,loan_to_income_ratio,risk_segment
LOAN000146,CUST0038,417940.7,24,10.37,2025-05-23,APPROVED,1,34,F,133258,Employed,Austin,660.0,TransUnion,2025-09-30T13:25:02.948772,2025,5,3.14,Medium Risk
LOAN000147,CUST0142,126029.63,24,7.98,2025-04-05,APPROVED,0,40,F,241002,Retired,New York,633.0,Experian,2025-09-30T13:25:04.217746,2025,4,0.52,Medium Risk
LOAN000148,CUST0162,163696.07,36,22.13,2025-02-21,APPROVED,0,46,F,81219,Unemployed,San Francisco,318.0,Equifax,2025-09-30T13:25:04.466900,2025,2,2.02,High Risk
LOAN000149,CUST0116,225449.88,36,7.38,2025-01-01,PENDING,0,34,M,117333,Self-Employed,Seattle,558.0,Equifax,2025-09-30T13:25:03.954962,2025,1,1.92,High Risk
LOAN000150,CUST0246,396368.08,24,9.17,2025-09-28,APPROVED,0,65,F,170196,Employed,San Francisco,441.0,Experian,2025-09-30T13:25:05.946288,2025,9,2.33,High Risk
LOAN000151,CUST0184,481207.27,36,5.89,2025-06-21,APPROVED,0,24,F,196784,Self-Employed,Austin,838.0,TransUnion,2025-09-30T13:25:32.514093,2025,6,2.45,Low Risk
LOAN000152,CUST0033,348076.03,36,19.45,2025-08-11,APPROVED,0,65,M,35198,Unemployed,San Francisco,584.0,Experian,2025-09-30T13:25:02.867025,2025,8,9.89,Medium Risk
LOAN000153,CUST0197,83723.49,36,8.03,2025-01-31,APPROVED,1,25,F,139278,Employed,Seattle,841.0,Equifax,2025-09-30T13:25:05.167235,2025,1,0.6,Low Risk
LOAN000154,CUST0035,442899.77,12,3.8,2025-01-22,REJECTED,0,37,F,163070,Retired,Chicago,791.0,Experian,2025-09-30T13:25:02.902333,2025,1,2.72,Low Risk
LOAN000155,CUST0214,208769.34,36,4.88,2025-06-29,APPROVED,0,51,M,105800,Employed,Seattle,448.0,Experian,2025-09-30T13:25:05.467167,2025,6,1.97,High Risk
LOAN000156,CUST0219,50522.91,36,5.08,2025-09-09,APPROVED,0,38,F,100269,Retired,Austin,497.0,Equifax,2025-09-30T13:25:05.550719,2025,9,0.5,High Risk
LOAN000157,CUST0122,155493.06,48,5.42,2024-12-03,APPROVED,0,33,M,185998,Unemployed,Austin,354.0,Equifax,2025-09-30T13:25:04.061701,2024,12,0.84,High Risk
LOAN000158,CUST0020,283595.43,48,23.22,2025-08-29,APPROVED,0,71,F,181825,Employed,San Francisco,561.0,,,2025,8,1.56,High Risk
LOAN000159,CUST0167,166520.01,12,13.86,2025-09-07,APPROVED,0,62,M,81218,Retired,San Francisco,366.0,Experian,2025-09-30T13:25:04.567666,2025,9,2.05,High Risk
LOAN000160,CUST0193,108088.95,60,5.66,2025-09-21,APPROVED,0,45,F,195750,Unemployed,New York,793.0,TransUnion,2025-09-30T13:25:05.090443,2025,9,0.55,Low Risk
LOAN000161,CUST0098,433231.63,48,15.54,2025-04-24,APPROVED,0,38,F,207390,Retired,Chicago,561.0,,,2025,4,2.09,High Risk
LOAN000162,CUST0258,68204.39,12,12.53,2025-09-13,APPROVED,0,26,M,193202,Unemployed,Seattle,324.0,TransUnion,2025-09-30T13:25:06.045534,2025,9,0.35,High Risk
LOAN000163,CUST0120,479830.29,48,10.78,2025-04-08,APPROVED,0,42,F,202984,Self-Employed,Seattle,559.0,Experian,2025-09-30T13:25:04.028711,2025,4,2.36,High Risk
LOAN000164,CUST0232,370457.46,12,21.5,2025-04-21,APPROVED,0,33,M,50088,Self-Employed,Austin,371.0,TransUnion,2025-09-30T13:25:05.734696,2025,4,7.4,High Risk
LOAN000165,CUST0199,150497.12,36,22.19,2024-11-04,APPROVED,0,50,M,55926,Unemployed,Chicago,382.0,Equifax,2025-09-30T13:25:05.200233,2024,11,2.69,High Risk
LOAN000166,CUST0156,275897.56,24,17.93,2025-03-20,PENDING,0,30,F,184991,Employed,New York,759.0,Equifax,2025-09-30T13:25:04.346270,2025,3,1.49,Low Risk
LOAN000167,CUST0263,493528.69,36,14.74,2024-11-06,APPROVED,0,22,F,207172,Employed,Seattle,691.0,Equifax,2025-09-30T13:25:06.106872,2024,11,2.38,Low Risk
LOAN000168,CUST0095,432606.31,12,18.53,2025-02-22,APPROVED,0,25,M,36704,Retired,Chicago,465.0,TransUnion,2025-09-30T13:25:03.688902,2025,2,11.79,High Risk
LOAN000169,CUST0282,468384.88,60,12.77,2025-08-10,APPROVED,0,74,M,126791,Retired,San Francisco,561.0,,,2025,8,3.69,High Risk
LOAN000170,CUST0295,280287.15,12,14.92,2025-06-08,APPROVED,0,62,M,98126,Self-Employed,Seattle,733.0,Experian,2025-09-30T13:25:06.667511,2025,6,2.86,Low Risk
LOAN000171,CUST0196,32007.44,48,16.36,2024-10-10,APPROVED,0,49,F,89130,Retired,Chicago,308.0,Experian,2025-09-30T13:25:05.138425,2024,10,0.36,High Risk
LOAN000172,CUST0188,75691.39,60,14.68,2025-02-14,APPROVED,0,21,F,151486,Unemployed,San Francisco,475.0,TransUnion,2025-09-30T13:25:05.002628,2025,2,0.5,High Risk
LOAN000173,CUST0213,415135.36,24,18.75,2025-03-30,APPROVED,0,30,M,177531,Self-Employed,Chicago,697.0,TransUnion,2025-09-30T13:25:05.450520,2025,3,2.34,Low Risk
LOAN000174,CUST0074,11734.09,60,7.18,2025-03-14,APPROVED,0,61,F,131454,Retired,San Francisco,362.0,TransUnion,2025-09-30T13:25:03.317471,2025,3,0.09,High Risk
LOAN000175,CUST0244,350860.84,24,18.97,2025-01-24,APPROVED,0,44,F,124012,Unemployed,San Francisco,665.0,TransUnion,2025-09-30T13:25:05.908987,2025,1,2.83,Medium Risk
LOAN000176,CUST0155,43114.32,60,18.8,2025-02-25,APPROVED,0,73,F,120174,Unemployed,San Francisco,558.0,Experian,2025-09-30T13:25:04.338764,2025,2,0.36,High Risk
LOAN000177,CUST0152,11226.1,48,5.89,2025-08-08,APPROVED,0,58,M,120138,Employed,Chicago,499.0,TransUnion,2025-09-30T13:25:04.278543,2025,8,0.09,High Risk
LOAN000178,CUST0032,352583.04,48,15.68,2024-11-15,PENDING,0,59,F,194894,Retired,Seattle,522.0,Experian,2025-09-30T13:25:30.318273,2024,11,1.81,High Risk
LOAN000179,CUST0077,411168.03,36,23.11,2025-07-03,APPROVED,0,66,M,233888,Unemployed,Seattle,573.0,Experian,2025-09-30T13:25:03.373375,2025,7,1.76,High Risk
LOAN000180,CUST0137,38016.13,48,20.36,2025-02-17,APPROVED,0,67,M,86111,Self-Employed,New York,678.0,Equifax,2025-09-30T13:25:04.184135,2025,2,0.44,Low Risk
LOAN000181,CUST0003,17771.85,24,7.91,2025-04-28,APPROVED,1,43,F,245034,Unemployed,Seattle,603.0,TransUnion,2025-09-30T13:25:02.502508,2025,4,0.07,Medium Risk
LOAN000182,CUST0281,13539.74,36,19.81,2025-03-11,APPROVED,0,56,M,155598,Self-Employed,New York,680.0,TransUnion,2025-09-30T13:25:06.418456,2025,3,0.09,Low Risk
LOAN000183,CUST0214,245604.95,60,23.99,2025-02-09,APPROVED,1,51,M,105800,Employed,Seattle,448.0,Experian,2025-09-30T13:25:05.467167,2025,2,2.32,High Risk
LOAN000184,CUST0040,493749.3,36,10.47,2025-02-13,APPROVED,0,68,M,202155,Self-Employed,San Francisco,361.0,Equifax,2025-09-30T13:25:02.961892,2025,2,2.44,High Risk
LOAN000185,CUST0277,142100.37,12,7.39,2025-02-27,APPROVED,0,67,F,32900,Self-Employed,Austin,666.0,Equifax,2025-09-30T13:25:06.351670,2025,2,4.32,Medium Risk
LOAN000186,CUST0244,116133.32,36,6.2,2025-05-07,APPROVED,0,44,F,124012,Unemployed,San Francisco,665.0,TransUnion,2025-09-30T13:25:05.908987,2025,5,0.94,Medium Risk
LOAN000187,CUST0060,377830.19,12,6.79,2025-05-16,APPROVED,0,54,M,116996,Employed,San Francisco,315.0,Experian,2025-09-30T13:25:03.142906,2025,5,3.23,High Risk
LOAN000188,CUST0040,473144.17,12,13.21,2025-01-16,APPROVED,0,68,M,202155,Self-Employed,San Francisco,361.0,Equifax,2025-09-30T13:25:02.961892,2025,1,2.34,High Risk
LOAN000189,CUST0177,292206.36,36,15.14,2024-10-02,APPROVED,0,22,F,110627,Employed,Austin,561.0,,,2024,10,2.64,High Risk
LOAN000190,CUST0098,360080.77,36,4.13,2025-03-09,APPROVED,0,38,F,207390,Retired,Chicago,561.0,,,2025,3,1.74,High Risk
LOAN000191,CUST0120,170309.81,24,4.56,2025-04-16,PENDING,0,42,F,202984,Self-Employed,Seattle,559.0,Experian,2025-09-30T13:25:04.028711,2025,4,0.84,High Risk
LOAN000192,CUST0194,133999.4,48,19.69,2024-12-23,APPROVED,0,59,F,54649,Unemployed,Austin,653.0,Experian,2025-09-30T13:25:32.680062,2024,12,2.45,Medium Risk
LOAN000193,CUST0124,338454.45,12,12.14,2025-04-18,APPROVED,0,74,F,206573,Self-Employed,Austin,368.0,Equifax,2025-09-30T13:25:04.080334,2025,4,1.64,High Risk
LOAN000194,CUST0272,421372.68,12,9.29,2025-05-22,APPROVED,0,52,F,49847,Retired,Seattle,813.0,Equifax,2025-09-30T13:25:06.265338,2025,5,8.45,Low Risk
LOAN000195,CUST0071,303856.2,60,22.99,2024-12-02,REJECTED,0,51,M,186434,Retired,Chicago,416.0,Equifax,2025-09-30T13:25:03.242672,2024,12,1.63,High Risk
LOAN000196,CUST0210,43769.26,12,10.78,2024-11-30,PENDING,0,28,M,84751,Employed,San Francisco,561.0,,,2024,11,0.52,High Risk
LOAN000197,CUST0080,454798.25,36,9.84,2025-01-16,APPROVED,1,21,F,138278,Unemployed,Chicago,831.0,Experian,2025-09-30T13:25:03.423856,2025,1,3.29,Low Risk
LOAN000198,CUST0065,77627.39,48,15.55,2025-04-29,APPROVED,0,58,M,220638,Retired,San Francisco,425.0,Experian,2025-09-30T13:25:03.190101,2025,4,0.35,High Risk
LOAN000199,CUST0191,206387.67,60,15.44,2025-09-12,PENDING,0,48,F,42962,Retired,New York,594.0,Equifax,2025-09-30T13:25:32.631312,2025,9,4.8,Medium Risk
LOAN000200,CUST0181,461564.63,60,23.8,2025-03-02,APPROVED,0,40,F,85862,Retired,San Francisco,376.0,Experian,2025-09-30T13:25:04.818393,2025,3,5.38,High Risk
LOAN000201,CUST0261,105281.67,36,13.75,2025-09-06,APPROVED,0,56,F,49717,Retired,Seattle,561.0,,,2025,9,2.12,High Risk
LOAN000202,CUST0293,121965.94,12,18.96,2024-12-09,APPROVED,0,33,M,217163,Unemployed,San Francisco,541.0,Equifax,2025-09-30T13:25:06.633636,2024,12,0.56,High Risk
LOAN000203,CUST0017,393099.77,36,20.73,2025-04-07,PENDING,0,72,M,122201,Unemployed,New York,563.0,Equifax,2025-09-30T13:25:02.639767,2025,4,3.22,High Risk
LOAN000204,CUST0054,17447.21,12,5.64,2025-05-19,APPROVED,0,45,M,178756,Retired,Austin,567.0,Equifax,2025-09-30T13:25:03.110188,2025,5,0.1,High Risk
LOAN000205,CUST0015,373637.75,12,16.83,2024-11-25,PENDING,0,22,M,159087,Unemployed,San Francisco,423.0,Equifax,2025-09-30T13:25:30.112343,2024,11,2.35,High Risk
LOAN000206,CUST0179,309544.13,36,17.5,2024-12-04,APPROVED,0,21,M,163786,Retired,San Francisco,355.0,TransUnion,2025-09-30T13:25:04.767581,2024,12,1.89,High Risk
LOAN000207,CUST0045,397641.6,60,16.89,2025-05-18,APPROVED,1,51,M,100289,Unemployed,New York,348.0,Experian,2025-09-30T13:25:03.024382,2025,5,3.96,High Risk
LOAN000208,CUST0249,55716.44,24,22.12,2024-10-12,PENDING,0,63,F,123862,Unemployed,Austin,440.0,TransUnion,2025-09-30T13:25:05.972670,2024,10,0.45,High Risk
LOAN000209,CUST0283,314575.55,24,23.26,2024-12-29,APPROVED,0,71,M,210937,Self-Employed,Austin,545.0,Equifax,2025-09-30T13:25:06.467552,2024,12,1.49,High Risk
LOAN000210,CUST0079,292206.07,24,18.54,2025-06-30,APPROVED,0,57,M,217616,Self-Employed,Chicago,532.0,Equifax,2025-09-30T13:25:03.417738,2025,6,1.34,High Risk
LOAN000211,CUST0022,448626.14,24,18.19,2025-01-12,APPROVED,0,64,M,237787,Unemployed,Seattle,629.0,TransUnion,2025-09-30T13:25:02.727314,2025,1,1.89,Medium Risk
LOAN000212,CUST0102,81495.56,36,8.31,2025-08-13,APPROVED,0,39,M,77512,Self-Employed,Chicago,824.0,Equifax,2025-09-30T13:25:03.834433,2025,8,1.05,Low Risk
LOAN000213,CUST0288,78348.83,12,5.63,2025-09-19,APPROVED,0,68,F,137154,Self-Employed,Austin,472.0,Experian,2025-09-30T13:25:06.540245,2025,9,0.57,High Risk
LOAN000214,CUST0042,130635.83,36,8.91,2025-01-25,PENDING,0,29,F,22064,Self-Employed,San Francisco,482.0,Equifax,2025-09-30T13:25:02.984903,2025,1,5.92,High Risk
LOAN000215,CUST0130,244606.52,48,15.39,2025-09-08,PENDING,0,39,F,35241,Retired,Austin,685.0,Experian,2025-09-30T13:25:04.128844,2025,9,6.94,Low Risk
LOAN000216,CUST0076,457634.18,48,9.32,2025-08-09,APPROVED,0,21,M,211963,Employed,Seattle,606.0,Equifax,2025-09-30T13:25:03.367729,2025,8,2.16,Medium Risk
LOAN000217,CUST0196,75427.24,12,21.9,2025-04-09,APPROVED,0,49,F,89130,Retired,Chicago,308.0,Experian,2025-09-30T13:25:05.138425,2025,4,0.85,High Risk
LOAN000218,CUST0179,80100.24,24,21.36,2025-06-08,APPROVED,0,21,M,163786,Retired,San Francisco,355.0,TransUnion,2025-09-30T13:25:04.767581,2025,6,0.49,High Risk
LOAN000219,CUST0272,115703.11,12,18.82,2025-05-26,APPROVED,1,52,F,49847,Retired,Seattle,813.0,Equifax,2025-09-30T13:25:06.265338,2025,5,2.32,Low Risk
LOAN000220,CUST0103,193767.03,48,18.28,2025-01-08,REJECTED,0,65,F,185452,Retired,Chicago,303.0,Equifax,2025-09-30T13:25:31.268503,2025,1,1.04,High Risk
LOAN000221,CUST0022,444240.41,60,16.97,2025-09-16,APPROVED,0,64,M,237787,Unemployed,Seattle,629.0,TransUnion,2025-09-30T13:25:02.727314,2025,9,1.87,Medium Risk
LOAN000222,CUST0280,26300.14,12,13.92,2025-09-26,APPROVED,0,51,M,249928,Retired,Chicago,485.0,TransUnion,2025-09-30T13:25:33.983550,2025,9,0.11,High Risk
LOAN000223,CUST0123,360045.7,36,3.89,2025-02-13,APPROVED,0,54,F,140335,Self-Employed,Chicago,433.0,Experian,2025-09-30T13:25:31.549979,2025,2,2.57,High Risk
LOAN000224,CUST0254,219767.45,36,5.72,2025-01-15,APPROVED,0,46,M,141363,Retired,San Francisco,788.0,Experian,2025-09-30T13:25:06.009276,2025,1,1.55,Low Risk
LOAN000225,CUST0176,403566.04,12,11.72,2024-12-21,APPROVED,0,71,M,249539,Unemployed,Chicago,614.0,Equifax,2025-09-30T13:25:32.379956,2024,12,1.62,Medium Risk
LOAN000226,CUST0257,265269.61,12,5.49,2025-01-01,APPROVED,0,41,M,162206,Self-Employed,Seattle,500.0,Equifax,2025-09-30T13:25:06.040848,2025,1,1.64,High Risk
LOAN000227,CUST0194,299647.38,12,8.48,2025-02-05,REJECTED,0,59,F,54649,Unemployed,Austin,653.0,Experian,2025-09-30T13:25:32.680062,2025,2,5.48,Medium Risk
LOAN000228,CUST0254,230232.55,60,7.32,2024-10-22,APPROVED,0,46,M,141363,Retired,San Francisco,788.0,Experian,2025-09-30T13:25:06.009276,2024,10,1.63,Low Risk
LOAN000229,CUST0245,71137.67,12,9.78,2025-02-14,APPROVED,1,74,F,238091,Retired,San Francisco,403.0,Experian,2025-09-30T13:25:05.924658,2025,2,0.3,High Risk
LOAN000230,CUST0075,79777.29,60,7.18,2024-11-18,APPROVED,0,54,M,77611,Employed,Austin,737.0,Equifax,2025-09-30T13:25:03.350784,2024,11,1.03,Low Risk
LOAN000231,CUST0212,67333.29,24,19.88,2025-06-06,APPROVED,0,55,M,194395,Self-Employed,Chicago,686.0,Experian,2025-09-30T13:25:05.433954,2025,6,0.35,Low Risk
LOAN000232,CUST0268,331400.58,60,6.46,2024-12-08,APPROVED,0,24,F,134290,Retired,San Francisco,669.0,Equifax,2025-09-30T13:25:33.852140,2024,12,2.47,Medium Risk
LOAN000233,CUST0138,375290.91,60,19.81,2024-10-02,REJECTED,0,22,F,100716,Self-Employed,San Francisco,316.0,Equifax,2025-09-30T13:25:04.191401,2024,10,3.73,High Risk
LOAN000234,CUST0093,30232.71,48,22.34,2025-05-09,PENDING,0,45,M,75390,Retired,Seattle,633.0,Equifax,2025-09-30T13:25:03.656237,2025,5,0.4,Medium Risk
LOAN000235,CUST0001,388310.13,12,11.0,2025-09-30,APPROVED,0,41,F,186631,Retired,San Francisco,770.0,Experian,2025-09-30T13:25:02.490307,2025,9,2.08,Low Risk
LOAN000236,CUST0118,233934.41,24,15.98,2025-06-30,APPROVED,0,33,F,134631,Retired,New York,770.0,TransUnion,2025-09-30T13:25:04.010784,2025,6,1.74,Low Risk
LOAN000237,CUST0239,130062.47,12,20.25,2025-06-18,APPROVED,0,56,M,222447,Unemployed,Chicago,561.0,,,2025,6,0.58,High Risk
LOAN000238,CUST0084,335790.24,12,18.17,2025-05-14,APPROVED,0,58,F,193098,Unemployed,Austin,550.0,Equifax,2025-09-30T13:25:03.487846,2025,5,1.74,High Risk
LOAN000239,CUST0092,82415.17,60,11.76,2025-08-03,PENDING,0,40,F,185309,Retired,Chicago,416.0,TransUnion,2025-09-30T13:25:03.640617,2025,8,0.44,High Risk
LOAN000240,CUST0122,266703.25,48,23.16,2025-03-23,APPROVED,0,33,M,185998,Unemployed,Austin,354.0,Equifax,2025-09-30T13:25:04.061701,2025,3,1.43,High Risk
LOAN000241,CUST0052,222565.03,12,19.33,2025-04-09,APPROVED,1,46,F,113738,Retired,San Francisco,813.0,Experian,2025-09-30T13:25:03.088219,2025,4,1.96,Low Risk
LOAN000242,CUST0107,2018.79,60,20.15,2025-01-29,APPROVED,0,60,F,34136,Unemployed,Chicago,774.0,Experian,2025-09-30T13:25:03.871402,2025,1,0.06,Low Risk
LOAN000243,CUST0226,306137.51,48,23.76,2025-07-17,APPROVED,0,40,M,149891,Unemployed,Seattle,448.0,Equifax,2025-09-30T13:25:05.662940,2025,7,2.04,High Risk
LOAN000244,CUST0264,376264.77,24,16.78,2025-04-21,APPROVED,0,65,M,62951,Retired,Seattle,306.0,TransUnion,2025-09-30T13:25:06.133713,2025,4,5.98,High Risk
LOAN000245,CUST0140,110997.32,24,14.12,2025-08-21,APPROVED,0,52,F,121930,Retired,New York,658.0,Equifax,2025-09-30T13:25:04.206516,2025,8,0.91,Medium Risk
LOAN000246,CUST0072,85016.18,24,13.8,2025-02-04,PENDING,0,36,M,178976,Unemployed,Seattle,503.0,Equifax,2025-09-30T13:25:03.267476,2025,2,0.48,High Risk
LOAN000247,CUST0210,320837.79,12,4.7,2025-02-20,APPROVED,0,28,M,84751,Employed,San Francisco,561.0,,,2025,2,3.79,High Risk
LOAN000248,CUST0150,281618.12,48,10.98,2025-05-26,APPROVED,0,25,F,51105,Self-Employed,Austin,802.0,Equifax,2025-09-30T13:25:04.262798,2025,5,5.51,Low Risk
LOAN000249,CUST0203,201383.61,60,10.51,2024-10-31,APPROVED,0,72,M,144621,Unemployed,Austin,410.0,TransUnion,2025-09-30T13:25:32.830698,2024,10,1.39,High Risk
LOAN000250,CUST0115,435489.56,12,21.84,2025-06-03,APPROVED,0,71,M,195976,Unemployed,New York,795.0,TransUnion,2025-09-30T13:25:03.946024,2025,6,2.22,Low Risk
LOAN000251,CUST0270,103709.14,12,7.09,2025-05-25,APPROVED,0,47,M,132106,Unemployed,Austin,561.0,,,2025,5,0.79,High Risk
LOAN000252,CUST0123,260813.14,36,13.93,2025-06-09,APPROVED,0,54,F,140335,Self-Employed,Chicago,433.0,Experian,2025-09-30T13:25:31.549979,2025,6,1.86,High Risk
LOAN000253,CUST0202,323613.78,24,6.07,2025-05-03,REJECTED,1,27,M,107088,Retired,Chicago,419.0,TransUnion,2025-09-30T13:25:05.254933,2025,5,3.02,High Risk
LOAN000254,CUST0265,252154.68,24,23.82,2024-11-11,APPROVED,0,23,M,201278,Unemployed,New York,586.0,Equifax,2025-09-30T13:25:06.150518,2024,11,1.25,Medium Risk
LOAN000255,CUST0088,235860.48,24,16.2,2025-09-24,APPROVED,0,64,M,156001,Retired,Austin,736.0,Equifax,2025-09-30T13:25:03.567367,2025,9,1.51,Low Risk
LOAN000256,CUST0187,165192.93,36,3.61,2025-02-18,APPROVED,1,28,M,139053,Employed,New York,612.0,TransUnion,2025-09-30T13:25:04.985249,2025,2,1.19,Medium Risk
LOAN000257,CUST0043,103611.46,48,8.42,2025-08-25,APPROVED,0,58,F,82601,Self-Employed,New York,438.0,Equifax,2025-09-30T13:25:02.992459,2025,8,1.25,High Risk
LOAN000258,CUST0245,219469.06,24,18.32,2024-12-27,APPROVED,0,74,F,238091,Retired,San Francisco,403.0,Experian,2025-09-30T13:25:05.924658,2024,12,0.92,High Risk
LOAN000259,CUST0013,297402.7,36,16.04,2024-12-25,PENDING,0,29,F,234629,Employed,Chicago,500.0,Equifax,2025-09-30T13:25:02.608300,2024,12,1.27,High Risk
LOAN000260,CUST0018,68741.87,48,4.86,2025-04-19,APPROVED,0,38,F,147123,Self-Employed,San Francisco,589.0,Equifax,2025-09-30T13:25:02.651627,2025,4,0.47,Medium Risk
LOAN000261,CUST0252,123016.49,24,23.39,2025-02-22,APPROVED,0,56,F,153524,Retired,Seattle,706.0,Experian,2025-09-30T13:25:05.993995,2025,2,0.8,Low Risk
LOAN000262,CUST0132,497876.08,60,6.71,2025-03-02,APPROVED,0,67,M,170136,Retired,Chicago,691.0,Equifax,2025-09-30T13:25:04.146757,2025,3,2.93,Low Risk
LOAN000263,CUST0019,362870.1,48,9.79,2025-03-27,APPROVED,0,55,F,81289,Unemployed,New York,411.0,TransUnion,2025-09-30T13:25:02.658451,2025,3,4.46,High Risk
LOAN000264,CUST0008,326673.29,60,10.37,2025-01-31,APPROVED,0,58,M,64112,Unemployed,New York,472.0,TransUnion,2025-09-30T13:25:30.026328,2025,1,5.1,High Risk
LOAN000265,CUST0191,193701.72,24,14.95,2025-07-29,APPROVED,0,48,F,42962,Retired,New York,594.0,Equifax,2025-09-30T13:25:32.631312,2025,7,4.51,Medium Risk
LOAN000266,CUST0238,369624.68,48,22.4,2024-11-06,APPROVED,0,69,F,77533,Employed,Austin,800.0,Experian,2025-09-30T13:25:05.833637,2024,11,4.77,Low Risk
LOAN000267,CUST0215,183888.11,12,13.18,2025-05-29,APPROVED,0,65,F,207446,Retired,San Francisco,384.0,TransUnion,2025-09-30T13:25:05.483907,2025,5,0.89,High Risk
LOAN000268,CUST0019,443867.57,48,18.29,2024-10-30,APPROVED,0,55,F,81289,Unemployed,New York,411.0,TransUnion,2025-09-30T13:25:02.658451,2024,10,5.46,High Risk
LOAN000269,CUST0147,307668.79,12,6.12,2025-08-14,APPROVED,0,44,M,243698,Retired,Chicago,481.0,TransUnion,2025-09-30T13:25:04.247358,2025,8,1.26,High Risk
LOAN000270,CUST0162,429401.59,12,14.17,2024-11-23,APPROVED,0,46,F,81219,Unemployed,San Francisco,318.0,Equifax,2025-09-30T13:25:04.466900,2024,11,5.29,High Risk
LOAN000271,CUST0133,261719.14,36,13.62,2024-10-28,APPROVED,0,68,M,77866,Self-Employed,New York,326.0,Equifax,2025-09-30T13:25:04.154454,2024,10,3.36,High Risk
LOAN000272,CUST0198,498866.36,12,14.8,2024-11-21,APPROVED,0,43,M,96741,Unemployed,Seattle,781.0,Experian,2025-09-30T13:25:05.184005,2024,11,5.16,Low Risk
LOAN000273,CUST0267,202382.14,24,9.36,2024-11-03,APPROVED,0,55,M,124898,Retired,San Francisco,399.0,Equifax,2025-09-30T13:25:06.183813,2024,11,1.62,High Risk
LOAN000274,CUST0211,268573.19,12,15.61,2024-12-15,APPROVED,0,41,M,220869,Employed,San Francisco,462.0,Experian,2025-09-30T13:25:05.417199,2024,12,1.22,High Risk
LOAN000275,CUST0172,330144.83,60,6.94,2025-02-04,APPROVED,0,45,M,205553,Employed,San Francisco,705.0,TransUnion,2025-09-30T13:25:04.667632,2025,2,1.61,Low Risk
LOAN000276,CUST0071,90075.19,60,5.25,2025-07-29,APPROVED,0,51,M,186434,Retired,Chicago,416.0,Equifax,2025-09-30T13:25:03.242672,2025,7,0.48,High Risk
LOAN000277,CUST0141,309634.92,48,14.43,2025-04-24,APPROVED,0,74,F,105560,Unemployed,New York,553.0,TransUnion,2025-09-30T13:25:04.211708,2025,4,2.93,High Risk
LOAN000278,CUST0259,306567.76,60,11.61,2024-10-15,PENDING,0,62,F,231812,Self-Employed,San Francisco,708.0,Equifax,2025-09-30T13:25:06.050344,2024,10,1.32,Low Risk
LOAN000279,CUST0160,212720.55,48,18.67,2025-02-24,APPROVED,0,31,F,56517,Self-Employed,Seattle,438.0,TransUnion,2025-09-30T13:25:04.424547,2025,2,3.76,High Risk
LOAN000280,CUST0242,42010.72,36,9.16,2025-08-05,APPROVED,0,27,M,134673,Retired,San Francisco,561.0,,,2025,8,0.31,High Risk
LOAN000281,CUST0059,189284.78,60,15.6,2024-11-10,REJECTED,1,50,M,79728,Retired,Chicago,310.0,Equifax,2025-09-30T13:25:03.139862,2024,11,2.37,High Risk
LOAN000282,CUST0105,263085.82,60,19.77,2025-04-23,PENDING,0,22,M,121898,Unemployed,Seattle,515.0,Experian,2025-09-30T13:25:03.853706,2025,4,2.16,High Risk
LOAN000283,CUST0267,8297.98,36,10.53,2025-03-20,PENDING,0,55,M,124898,Retired,San Francisco,399.0,Equifax,2025-09-30T13:25:06.183813,2025,3,0.07,High Risk
LOAN000284,CUST0210,103116.23,60,11.49,2025-04-02,APPROVED,0,28,M,84751,Employed,San Francisco,561.0,,,2025,4,1.22,High Risk
LOAN000285,CUST0274,462941.38,24,16.22,2025-08-09,PENDING,0,31,M,135457,Employed,Chicago,741.0,Experian,2025-09-30T13:25:06.300773,2025,8,3.42,Low Risk
LOAN000286,CUST0216,478897.89,24,4.55,2025-01-05,APPROVED,0,45,M,178666,Self-Employed,Chicago,840.0,Equifax,2025-09-30T13:25:05.489844,2025,1,2.68,Low Risk
LOAN000287,CUST0247,79557.71,36,19.19,2025-03-07,APPROVED,0,56,M,165380,Self-Employed,San Francisco,686.0,Equifax,2025-09-30T13:25:33.587221,2025,3,0.48,Low Risk
LOAN000288,CUST0206,380380.18,24,16.76,2025-09-29,APPROVED,0,70,M,202500,Employed,New York,692.0,TransUnion,2025-09-30T13:25:05.332604,2025,9,1.88,Low Risk
LOAN000289,CUST0291,296087.63,60,16.39,2025-05-23,APPROVED,0,54,M,134263,Employed,New York,738.0,Equifax,2025-09-30T13:25:06.602245,2025,5,2.21,Low Risk
LOAN000290,CUST0013,77228.06,48,19.4,2024-12-20,APPROVED,0,29,F,234629,Employed,Chicago,500.0,Equifax,2025-09-30T13:25:02.608300,2024,12,0.33,High Risk
LOAN000291,CUST0079,206952.06,24,9.98,2025-09-02,PENDING,0,57,M,217616,Self-Employed,Chicago,532.0,Equifax,2025-09-30T13:25:03.417738,2025,9,0.95,High Risk
LOAN000292,CUST0226,260831.24,36,5.82,2025-01-27,APPROVED,0,40,M,149891,Unemployed,Seattle,448.0,Equifax,2025-09-30T13:25:05.662940,2025,1,1.74,High Risk
LOAN000293,CUST0063,183878.02,60,11.05,2024-12-21,APPROVED,0,75,M,167298,Self-Employed,Chicago,419.0,Equifax,2025-09-30T13:25:03.178720,2024,12,1.1,High Risk
